Tournament,Category,Pool,Name,Nationality,Kata,TEC1,TEC2,TEC3,TEC4,TEC5,TEC6,TEC7,ATH1,ATH2,ATH3,ATH4,ATH5,ATH6,ATH7,Score
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,NGUYEN THI PHUONG,VIE,002 Anan Dai,7.4,7.2,7.6,7.8,8.4,7.2,6.8,7.2,7.2,7.8,8.0,8.4,7.0,6.8,22.2
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,BAGHERY BAZARDEH NEGIN,IRI,068 Papuren,6.6,6.8,7.0,7.6,7.2,7.8,7.4,6.8,7.0,6.6,7.8,7.6,7.6,7.4,21.72
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,RIZZO MICHELA,ITA,008 Chatanyara Kushanku,6.2,6.6,6.2,7.4,7.4,6.6,7.0,6.0,7.2,6.2,7.6,7.0,6.6,7.0,20.32
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,ARMADA RUIZ ANDREA,VEN,078 Sansai,6.8,7.0,6.0,8.0,7.6,7.6,6.6,6.4,7.0,6.4,7.8,7.4,7.4,6.6,21.28
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,BALCIAROVA DOROTA,SVK,068 Papuren,8.0,8.0,7.8,8.2,7.8,7.0,7.2,7.6,7.8,7.2,8.0,7.6,7.2,7.2,23.24
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,MISKOVA VERONIKA,CZE,068 Papuren,8.4,8.6,7.2,7.4,8.0,8.0,8.0,7.8,8.4,7.4,7.6,8.0,8.0,8.0,23.94
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,RODRIGUEZ ENCABO LIDIA,ESP,002 Anan Dai,8.6,6.6,8.0,8.4,8.4,8.2,7.8,8.2,6.8,8.4,8.6,8.2,8.4,7.8,24.66
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,MANTY BESS,FIN,068 Papuren,7.8,8.4,7.4,7.4,6.8,6.4,8.2,7.6,8.4,7.4,7.6,7.0,6.4,8.2,22.6
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,FURSAVA MARYIA,BLR,002 Anan Dai,8.0,7.6,6.8,7.8,7.6,6.8,7.8,7.2,7.2,7.0,7.6,7.4,6.8,7.8,22.64
Karate1 Premier League - Salzburg 2020,Female Kata, 1 / 4,PIVI LISA,ITA,002 Anan Dai,6.4,6.6,6.4,8.4,7.2,6.6,8.6,6.4,7.0,6.4,8.2,7.6,6.6,8.6,20.64
