Tournament,Category,Pool,Name,Nationality,Kata,TEC1,TEC2,TEC3,TEC4,TEC5,TEC6,TEC7,ATH1,ATH2,ATH3,ATH4,ATH5,ATH6,ATH7,Score
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,ZERVOU NIKOLETA ,GRE,002 Anan Dai,7.6,7.6,7.4,8.0,7.8,7.6,7.8,7.6,7.8,7.6,7.6,7.8,7.4,8.0,23.0
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,KWONG JESSICA,USA,001 Anan,7.8,7.8,7.8,8.6,8.0,8.0,8.0,8.0,8.0,7.4,8.4,8.0,8.0,8.2,23.86
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,WEVER DENISE,GUA,068 Papuren,7.0,7.2,7.0,8.2,7.8,7.8,7.4,6.8,7.4,6.6,7.6,7.6,7.8,7.2,22.34
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,PEÑA CARDENAS CATALINA,CHI,068 Papuren,6.6,7.0,6.2,7.6,7.4,7.6,7.0,7.0,7.0,6.0,7.8,7.4,7.4,7.2,21.46
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,SCHOPCHAKI THAINAN,BRA,068 Papuren,6.4,7.4,6.4,7.8,7.4,7.6,6.6,6.4,7.4,6.4,7.6,7.4,7.6,6.8,21.46
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,BAILLARGEON MELISSA,CAN,001 Anan,7.6,6.8,7.2,8.2,7.4,7.6,7.6,8.0,7.2,7.6,8.0,7.4,7.4,7.8,22.66
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,PULIDO SULBARAN ANGIE,CHI,067 Paiku,6.4,6.8,6.4,7.8,7.2,7.6,6.8,6.0,6.8,5.8,7.6,7.2,7.8,7.0,20.86
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,SCORDO SANDY,FRA,020 Gojushiho Dai,8.0,8.4,8.4,8.6,8.2,7.8,8.0,8.2,8.4,8.4,8.2,8.2,8.0,8.2,24.6
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,BOTTARO VIVIANA,ITA,009 Chibana No Kushanku,8.4,8.8,8.8,8.6,8.0,8.2,8.4,8.4,8.8,8.4,8.2,8.0,8.2,8.4,25.28
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,MANTY BESS,FIN,001 Anan,7.2,8.2,6.8,6.8,7.4,7.8,7.0,7.4,8.0,7.0,6.6,7.6,8.0,7.4,21.84
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,SCHOPCHAKI THAWANNA,BRA,068 Papuren,7.6,8.0,6.6,7.0,7.8,7.8,6.4,7.6,7.8,6.8,6.4,7.8,7.6,6.6,22.28
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,DE LA PAZ CAROL,CHI,002 Anan Dai,7.4,7.8,6.4,7.2,7.4,7.6,6.2,7.2,8.0,6.6,7.0,7.2,7.4,6.0,21.82
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,ROMANI SOL MARIA,PER,020 Gojushiho Dai,8.0,8.4,7.8,7.8,7.4,8.4,7.4,8.0,8.2,8.0,7.8,7.4,8.2,7.2,23.66
